id,age,gender,current_country,highest_education_level,current_role,company_size,workplace_uses_machine_learning,yearly_salary,money_spent_on_ml,primary_analyzing_tool,time_coding,time_using_ml_methods
1,22-24,Male,France,Masters degree,Software Engineer,1000-9999 employees,I do not know,"30,000-39,999",0,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1-2 years,1-2 years
2,40-44,Male,India,Professional degree,Software Engineer,> 10000 employees,We have well established ML methods (i.e. models in production for more than 2 years),"5,000-7,499","> 100,000","Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",I have never written code,
3,55-59,Female,Germany,Professional degree,,,,,,,,
4,40-44,Male,Australia,Masters degree,Other,> 10000 employees,I do not know,"250,000-299,999","10,000-99,999","Local development environments (RStudio, JupyterLab, etc.)",1-2 years,2-3 years
5,22-24,Male,India,Bachelors degree,Other,0-49 employees,No (we do not use ML methods),"4,000-4,999",0,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,< 1 years
6,50-54,Male,France,Masters degree,Data Scientist,0-49 employees,We have well established ML methods (i.e. models in production for more than 2 years),"60,000-69,999","10,000-99,999","Advanced statistical software (SPSS, SAS, etc.)",20+ years,10-15 years
7,22-24,Male,India,Masters degree,Data Scientist,50-249 employees,We are exploring ML methods (and may one day put a model into production),"10,000-14,999",100-999,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,2-3 years
8,22-24,Female,United States of America,Bachelors degree,Data Scientist,> 10000 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"80,000-89,999",0,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,3-4 years
9,22-24,Male,United States of America,Bachelors degree,Student,,,,,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,1-2 years
10,55-59,Male,Netherlands,Masters degree,Other,0-49 employees,We are exploring ML methods (and may one day put a model into production),0-999,100-999,"Local development environments (RStudio, JupyterLab, etc.)",5-10 years,< 1 years
11,18-21,Male,India,Some college/university study without earning a Bachelors degree,Student,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",< 1 years,< 1 years
12,30-34,Male,Germany,Masters degree,Statistician,0-49 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"2,000-2,999","1000-9,999","Basic statistical software (Microsoft Excel, Google Sheets, etc.)",5-10 years,4-5 years
13,30-34,Male,Germany,Bachelors degree,Data Scientist,50-249 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"70,000-79,999","1000-9,999","Local development environments (RStudio, JupyterLab, etc.)",5-10 years,4-5 years
14,30-34,Male,United States of America,Masters degree,Product/Project Manager,> 10000 employees,I do not know,"90,000-99,999",0,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3-5 years,2-3 years
15,25-29,Male,India,Bachelors degree,Other,1000-9999 employees,,,,,,
16,50-54,Female,United States of America,Masters degree,Data Analyst,50-249 employees,We use ML methods for generating insights (but do not put working models into production),"125,000-149,999","> 100,000","Basic statistical software (Microsoft Excel, Google Sheets, etc.)",10-20 years,1-2 years
17,18-21,Male,Australia,Bachelors degree,Software Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),0-999,100-999,Other,1-2 years,2-3 years
18,18-21,Male,India,Some college/university study without earning a Bachelors degree,Student,,,,,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,2-3 years
19,35-39,Male,France,Masters degree,Product/Project Manager,> 10000 employees,We recently started using ML methods (i.e. models in production for less than 2 years),0-999,"> 100,000",Other,3-5 years,4-5 years
20,25-29,Male,France,Doctoral degree,Research Scientist,50-249 employees,We have well established ML methods (i.e. models in production for more than 2 years),"40,000-49,999",0,"Local development environments (RStudio, JupyterLab, etc.)",5-10 years,4-5 years
21,22-24,Female,Ireland,Masters degree,Data Analyst,1000-9999 employees,We are exploring ML methods (and may one day put a model into production),"20,000-24,999","> 100,000","Advanced statistical software (SPSS, SAS, etc.)",1-2 years,1-2 years
22,35-39,Male,United States of America,Bachelors degree,Other,250-999 employees,We have well established ML methods (i.e. models in production for more than 2 years),"125,000-149,999",0,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",5-10 years,2-3 years
23,25-29,Male,India,Masters degree,Business Analyst,> 10000 employees,We are exploring ML methods (and may one day put a model into production),0-999,ene-99,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",< 1 years,< 1 years
24,40-44,Male,Russia,Masters degree,Software Engineer,50-249 employees,No (we do not use ML methods),"10,000-14,999","1000-9,999","Local development environments (RStudio, JupyterLab, etc.)",1-2 years,< 1 years
25,25-29,Male,Greece,Masters degree,Research Scientist,250-999 employees,We have well established ML methods (i.e. models in production for more than 2 years),"15,000-19,999",0,Other,5-10 years,1-2 years
26,30-34,Male,Greece,Masters degree,Software Engineer,0-49 employees,No (we do not use ML methods),"20,000-24,999","1000-9,999","Local development environments (RStudio, JupyterLab, etc.)",1-2 years,1-2 years
27,35-39,Male,India,Masters degree,Software Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),"100,000-124,999","10,000-99,999","Local development environments (RStudio, JupyterLab, etc.)",10-20 years,2-3 years
28,25-29,Male,United States of America,Doctoral degree,Student,,,,,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,2-3 years
29,30-34,Female,Ukraine,Doctoral degree,Research Scientist,1000-9999 employees,No (we do not use ML methods),0-999,ene-99,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,2-3 years
30,25-29,Female,Pakistan,Masters degree,Research Scientist,0-49 employees,We use ML methods for generating insights (but do not put working models into production),0-999,0,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,< 1 years
31,30-34,Male,Japan,Masters degree,Software Engineer,> 10000 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"90,000-99,999",0,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,2-3 years
32,30-34,Male,Japan,Masters degree,Data Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),"7,500-9,999",100-999,"Local development environments (RStudio, JupyterLab, etc.)",5-10 years,2-3 years
33,25-29,Female,Other,Masters degree,Data Analyst,1000-9999 employees,No (we do not use ML methods),0-999,0,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1-2 years,< 1 years
34,30-34,Female,United States of America,Masters degree,Research Scientist,> 10000 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"150,000-199,999","> 100,000","Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",5-10 years,3-4 years
35,22-24,Male,Brazil,Bachelors degree,Data Scientist,> 10000 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"10,000-14,999","> 100,000","Local development environments (RStudio, JupyterLab, etc.)",1-2 years,2-3 years
